year,book_format,avg_price,avg_page_count,book_count,total_reviews,total_sales
1745,Kindle,14.28,,1,13,828.2399999999998
1822,Kindle,12.15,,1,3,157.95
1827,Kindle,22.72,,1,8,908.8
1859,Kindle,17.31,,1,4,346.2
1900,Hardcover,6.810000000000001,128.0,1,68,2111.1000000000004
1900,Kindle,8.97,,1,10,287.04
1928,Paperback,9.99,192.0,1,39,1918.0800000000002
1930,Hardcover,6.99,192.0,1,147,4767.180000000001
1932,Hardcover,9.99,202.0,1,48,2257.74
1935,Paperback,10.16,96.0,1,3,142.24
1936,Hardcover,11.990000000000007,72.0,1,335,19555.689999999977
1938,Hardcover,38.589999999999996,1160.0,1,21,3974.7700000000004
1941,Hardcover,15.289999999999996,64.0,1,90,6482.960000000001
1942,Hardcover,6.6000000000000005,160.0,1,57,1848.0
1942,Paperback,22.26,138.0,1,1,111.30000000000001
1943,Kindle,75.44,,1,1,377.2
1943,Paperback,5.97,128.0,1,5,107.46
1946,Paperback,8.5,776.0,1,2,85.0
1947,Hardcover,16.378,192.0,2,35,2768.2900000000004
1949,Hardcover,98.09,292.0,1,1,196.18
1950,Paperback,8.590000000000002,144.0,1,94,3401.6400000000003
1953,Hardcover,15.19,352.0,1,24,1746.8500000000004
1954,Hardcover,33.99,560.0,1,3,509.85
1955,Hardcover,29.45411764705883,340.2352941176471,2,34,4937.27
1957,Paperback,18.950000000000003,400.0,1,31,2596.15
1958,Hardcover,25.490000000000002,677.0,1,32,3594.0900000000006
1958,Kindle,9.85,,1,3,147.75
1958,Paperback,9.95,144.0,1,94,3721.2999999999997
1959,Kindle,5.95,,1,24,666.4
1960,Hardcover,5.685866369710455,64.14743875278397,2,2245,61096.510000000206
1960,Paperback,14.419999999999998,464.0,1,35,2350.46
1961,Hardcover,13.219558823529413,65.9779411764706,3,136,7652.250000000002
1961,Paperback,14.456164383561646,350.16438356164383,2,73,4336.4
1962,Kindle,14.11,,2,2,141.10000000000002
1962,Paperback,22.250000000000004,378.1694915254237,2,59,6091.460000000001
1963,Kindle,5.97,,1,2,59.699999999999996
1963,Paperback,15.62,256.0,2,5,381.53999999999996
1964,Hardcover,9.99,72.0,1,64,3066.93
1964,Paperback,35.0,245.0,1,22,3570.0
1965,Hardcover,21.920000000000005,523.0,1,94,9666.72
1965,Paperback,13.0,144.0,1,17,1001.0
1966,Paperback,16.255555555555556,261.3333333333333,2,9,731.5
1968,Hardcover,16.064380165289265,28.297520661157026,2,121,9494.09
1968,Paperback,15.57,180.0,1,1,77.85
1969,Hardcover,14.410634920634916,72.61904761904762,3,126,7775.4800000000005
1969,Kindle,6.31,,1,16,372.28999999999996
1969,Paperback,6.549999999999999,192.0,1,20,615.6999999999999
1970,Hardcover,35.78999999999999,554.0,1,97,16534.979999999996
1970,Kindle,5.37,,1,2,48.33
1970,Paperback,6.540000000000001,236.8,2,5,156.2
1971,Hardcover,12.35,48.0,1,4,247.0
1971,Kindle,49.949999999999996,,1,7,1748.25
1971,Paperback,9.324811320754714,257.5,2,106,4648.6900000000005
1972,Hardcover,11.6725,187.75,2,8,436.93
1972,Paperback,9.890000000000002,256.0,1,37,1592.2900000000002
1973,Hardcover,59.158750000000005,1156.611111111111,2,72,20810.789999999997
1973,Kindle,5.44,,1,2,48.96000000000001
1973,Paperback,10.926330275229365,93.4862385321101,4,436,19412.429999999993
1974,Hardcover,18.631242937853116,69.85310734463278,3,354,31663.80000000001
1974,Kindle,8.94153846153846,,3,52,1991.56
1974,Paperback,8.6535593220339,51.20338983050848,2,118,4971.250000000002
1975,Hardcover,16.247428571428568,36.25714285714286,2,70,5306.800000000001
1975,Kindle,10.002987012987015,,2,154,5924.080000000003
1975,Paperback,9.548360655737703,61.032786885245905,3,61,2648.4999999999995
1976,Hardcover,53.06214285714287,228.64285714285714,3,28,6702.06
1976,Kindle,5.99,,1,13,383.36
1976,Paperback,13.989999999999998,62.0,1,31,1986.58
1977,Hardcover,138.0,257.0,1,1,690.0
1977,Kindle,9.360000000000003,,2,33,1328.7500000000002
1977,Paperback,11.648958333333333,292.4236111111111,6,144,7172.959999999999
1978,Hardcover,16.150144927536235,50.89855072463768,4,69,5369.790000000001
1978,Kindle,7.273333333333333,,2,3,109.10000000000001
1978,Paperback,15.176429177268803,428.9465648854962,5,1179,80421.0400000001
1979,Hardcover,15.03785714285714,311.85714285714283,3,14,1017.65
1979,Kindle,121.71866666666666,,2,15,7308.9
1979,Paperback,22.661500000000004,347.38,5,100,10194.320000000003
1980,Hardcover,19.037142857142857,49.142857142857146,2,21,1858.3099999999997
1980,Kindle,7.679181034482765,,5,464,16166.539999999997
1980,Paperback,15.356404494382023,355.2696629213483,3,89,6597.16
1981,Hardcover,13.914230769230768,130.15384615384616,5,26,1509.7900000000002
1981,Kindle,11.746875,,5,80,4435.9
1981,Paperback,10.778318584070794,366.04424778761063,5,113,5533.27
1982,Hardcover,16.90069148936171,55.005319148936174,6,188,15314.919999999998
1982,Kindle,11.475234375000003,,6,128,6562.730000000001
1982,Paperback,14.647131147540984,253.54098360655738,7,122,7945.850000000001
1983,Hardcover,38.498823529411766,389.8235294117647,4,34,5847.029999999999
1983,Kindle,8.115141562853902,,11,883,33481.20000000003
1983,Paperback,8.341178082191783,110.10958904109589,10,365,13912.799999999996
1984,Hardcover,16.730131578947372,222.59736842105264,9,380,30105.530000000006
1984,Kindle,10.50016227180528,,17,493,22672.379999999986
1984,Paperback,12.530537190082645,274.8388429752066,13,242,14009.740000000002
1985,Hardcover,311.3027272727273,242.0909090909091,2,11,15437.130000000001
1985,Kindle,7.681009296148745,,9,753,26860.499999999956
1985,Paperback,21.985000000000003,218.75,10,100,9543.069999999998
1986,Hardcover,22.223827893175073,237.40356083086053,19,337,34941.560000000005
1986,Kindle,9.587196581196585,,17,585,25090.92999999998
1986,Paperback,10.601576354679802,308.9310344827586,16,406,18801.12
1987,Hardcover,31.533189655172418,288.6810344827586,18,116,15652.8
1987,Kindle,7.778320610687026,,5,131,4063.05
1987,Paperback,10.35115928369463,800.3138548539114,18,1061,49326.30000000003
1988,Hardcover,44.02535353535354,311.6161616161616,20,198,40258.30999999999
1988,Kindle,10.251904761904763,,6,42,1930.67
1988,Paperback,10.995967383246835,260.1289844329133,20,1349,68055.55999999998
1989,Hardcover,27.752267206477736,366.4251012145749,21,247,31289.09999999999
1989,Kindle,8.439908256880734,,10,109,3971.26
1989,Paperback,14.795880535530372,248.04222451081358,12,971,64145.55999999998
1990,Hardcover,20.19612781954886,407.7593984962406,22,798,74155.06000000001
1990,Kindle,11.642619270346124,,10,1069,53784.77999999993
1990,Paperback,14.403888888888893,259.2854030501089,25,918,58900.70999999997
1991,Hardcover,22.703672922252007,230.91689008042894,28,373,38883.69999999999
1991,Kindle,8.770086805555552,,21,576,21720.179999999993
1991,Paperback,12.524321653189592,255.93800539083557,24,1113,60920.31
1992,Hardcover,21.47900596421471,324.220675944334,25,503,51195.90999999999
1992,Kindle,13.866131578947371,,25,380,23846.899999999994
1992,Paperback,13.089792843691136,221.6001255492781,47,1593,95259.24000000022
1993,Hardcover,26.800095541401273,635.0286624203821,34,314,38321.12999999999
1993,Kindle,9.300353866317204,,26,1526,62978.2299999999
1993,Paperback,13.899055118110239,288.0661417322835,30,635,39717.90999999999
1994,Hardcover,35.83102040816327,375.5532879818594,35,441,73568.22000000002
1994,Kindle,31.960058365758744,,29,514,74470.73999999999
1994,Paperback,16.207134146341446,303.04329268292685,52,1640,118514.45000000011
1995,Hardcover,16.513250265111196,123.72534464475079,39,1886,143299.92000000077
1995,Kindle,9.39163009404389,,28,319,12422.290000000005
1995,Paperback,13.228218465539634,332.93953185955786,46,1538,88197.87
1996,Hardcover,23.596525911708262,319.65259117082536,46,521,54527.54999999999
1996,Kindle,9.671996985681968,,23,1327,57859.98000000002
1996,Paperback,12.825040462427738,321.9849710982659,44,1730,96819.49000000008
1997,Hardcover,23.10682737169517,260.6251944012442,47,643,69310.78
1997,Kindle,10.870465608465608,,26,945,42777.07999999995
1997,Paperback,14.574539682539612,269.85,59,2520,161938.42000000013
1998,Hardcover,15.957516778523493,310.73489932885906,60,894,63031.42999999999
1998,Kindle,13.78858781362005,,43,1395,87936.35999999988
